team,total_matches,first_match,last_match,wins,draws,losses,goals_for,goals_against,goal_diff,win_rate
Abkhazia,33,2012-09-25,2019-06-08,15,13,5,54.0,26.0,28.0,0.4545
Afghanistan,147,1941-08-10,2026-06-10,36,34,77,142.0,293.0,-151.0,0.2449
Albania,398,1946-08-22,2026-06-06,110,84,204,377.0,589.0,-212.0,0.2764
Alderney,135,1905-04-17,2022-04-23,5,2,128,73.0,620.0,-547.0,0.037
Algeria,621,1963-01-06,2026-07-02,289,163,169,958.0,622.0,336.0,0.4654
Ambazonia,6,2005-06-23,2007-06-07,0,1,5,3.0,17.0,-14.0,0.0
American Samoa,55,1983-08-20,2026-03-28,4,2,49,33.0,357.0,-324.0,0.0727
Andalusia,13,1923-01-14,2013-06-07,8,4,1,25.0,14.0,11.0,0.6154
Andorra,229,1996-11-13,2026-06-07,14,31,184,75.0,543.0,-468.0,0.0611
Angola,415,1976-02-08,2026-06-09,141,148,126,470.0,428.0,42.0,0.3398
Anguilla,91,1985-11-05,2026-03-29,7,9,75,52.0,349.0,-297.0,0.0769
Antigua and Barbuda,231,1972-11-10,2025-11-18,71,43,117,306.0,423.0,-117.0,0.3074
Arameans Suryoye,10,2008-07-09,2014-06-08,5,2,3,16.0,12.0,4.0,0.5
Argentina,1074,1902-07-20,2026-07-06,596,258,220,2039.0,1078.0,961.0,0.5549
Armenia,272,1979-07-21,2026-06-09,65,57,150,274.0,499.0,-225.0,0.239
Artsakh,11,2012-09-25,2019-06-08,6,2,3,32.0,14.0,18.0,0.5455
Aruba,152,1924-04-06,2026-06-06,32,31,89,199.0,357.0,-158.0,0.2105
Asturias,1,1923-02-25,1923-02-25,1,0,0,3.0,1.0,2.0,1.0
Australia,585,1922-06-17,2026-07-03,297,125,163,1170.0,622.0,548.0,0.5077
Austria,864,1902-10-12,2026-07-02,368,185,311,1547.0,1324.0,223.0,0.4259
Aymara,2,2022-06-18,2022-06-19,0,0,2,1.0,4.0,-3.0,0.0
Azerbaijan,310,1979-07-24,2026-06-09,61,79,170,238.0,520.0,-282.0,0.1968
Bahamas,67,1971-04-14,2026-03-29,14,10,43,75.0,213.0,-138.0,0.209
Bahrain,584,1966-04-02,2026-06-05,207,154,223,725.0,756.0,-31.0,0.3545
Bangladesh,305,1973-07-27,2026-06-05,80,66,159,276.0,556.0,-280.0,0.2623
Barawa,12,2016-08-25,2019-05-25,3,0,9,16.0,46.0,-30.0,0.25
Barbados,302,1929-04-20,2026-03-29,94,67,141,393.0,527.0,-134.0,0.3113
Basque Country,64,1915-01-03,2025-11-15,39,13,12,164.0,89.0,75.0,0.6094
Belarus,315,1928-08-17,2026-06-09,94,80,141,363.0,464.0,-101.0,0.2984
Belgium,858,1904-05-01,2026-07-06,384,184,290,1559.0,1294.0,265.0,0.4476
Belize,121,1983-12-08,2026-03-30,31,20,70,133.0,233.0,-100.0,0.2562
Benin,325,1959-11-08,2026-06-09,84,79,162,352.0,561.0,-209.0,0.2585
Bermuda,198,1964-08-10,2026-06-06,68,33,97,328.0,349.0,-21.0,0.3434
Bhutan,110,1982-04-01,2026-06-04,11,7,92,61.0,402.0,-341.0,0.1
Biafra,3,2022-05-22,2022-05-25,2,0,1,2.0,1.0,1.0,0.6667
Bolivia,534,1926-10-12,2026-06-10,119,119,296,545.0,1051.0,-506.0,0.2228
Bonaire,44,2010-10-29,2026-06-06,14,6,24,63.0,109.0,-46.0,0.3182
Bosnia and Herzegovina,287,1995-11-30,2026-07-01,105,68,114,393.0,396.0,-3.0,0.3659
Botswana,332,1968-07-13,2026-03-31,90,92,150,268.0,426.0,-158.0,0.2711
Brazil,1068,1914-09-20,2026-07-05,678,219,171,2326.0,966.0,1360.0,0.6348
British Virgin Islands,123,1985-11-05,2026-06-06,22,22,79,114.0,362.0,-248.0,0.1789
Brittany,12,1922-03-12,2013-05-28,6,3,3,18.0,15.0,3.0,0.5
Brunei,137,1971-05-22,2025-11-18,22,11,104,107.0,449.0,-342.0,0.1606
Bulgaria,736,1924-05-21,2026-06-05,262,188,286,1016.0,1105.0,-89.0,0.356
Burkina Faso,464,1960-04-14,2026-06-09,164,123,177,580.0,617.0,-37.0,0.3534
Burundi,218,1953-09-19,2026-05-26,65,52,101,237.0,295.0,-58.0,0.2982
Cambodia,295,1954-11-01,2026-06-09,65,41,189,330.0,760.0,-430.0,0.2203
Cameroon,616,1953-09-24,2026-03-31,271,192,153,866.0,640.0,226.0,0.4399
Canada,474,1885-11-28,2026-07-04,181,110,183,617.0,615.0,2.0,0.3819
Canary Islands,4,1996-02-06,2007-12-29,3,0,1,11.0,3.0,8.0,0.75
Cape Verde,239,1959-12-20,2026-07-03,89,59,91,262.0,270.0,-8.0,0.3724
Cascadia,7,2018-05-31,2019-05-25,4,1,2,23.0,14.0,9.0,0.5714
Catalonia,48,1912-02-10,2019-03-25,19,12,17,75.0,84.0,-9.0,0.3958
Cayman Islands,120,1985-03-03,2026-06-06,25,21,74,118.0,294.0,-176.0,0.2083
Central African Republic,138,1960-04-14,2026-06-09,29,29,80,146.0,263.0,-117.0,0.2101
Central Spain,2,1922-11-19,1923-11-25,1,0,1,2.0,4.0,-2.0,0.5
Chad,138,1961-12-25,2025-11-17,26,34,78,117.0,238.0,-121.0,0.1884
Chagos Islands,16,2011-12-04,2019-12-29,3,2,11,28.0,76.0,-48.0,0.1875
Chameria,7,2019-06-02,2023-07-01,3,2,2,14.0,8.0,6.0,0.4286
Chechnya,3,2005-05-03,2006-02-18,0,1,2,3.0,29.0,-26.0,0.0
Chile,837,1910-05-27,2026-06-09,318,179,340,1181.0,1187.0,-6.0,0.3799
China,702,1913-02-04,2026-06-09,339,154,209,1285.0,768.0,517.0,0.4829
Cilento,1,2011-12-29,2011-12-29,0,0,1,0.0,2.0,-2.0,0.0
Colombia,643,1938-02-10,2026-07-06,261,178,204,828.0,737.0,91.0,0.4059
Comoros,151,1979-08-26,2026-06-09,36,35,80,134.0,244.0,-110.0,0.2384
Congo,406,1960-04-14,2025-10-14,134,99,173,523.0,598.0,-75.0,0.33
Cook Islands,53,1971-09-11,2024-09-06,11,4,38,43.0,264.0,-221.0,0.2075
Corsica,9,1967-02-28,2017-05-26,4,4,1,10.0,5.0,5.0,0.4444
Costa Rica,724,1921-09-14,2026-06-10,316,178,230,1238.0,858.0,380.0,0.4365
County of Nice,9,2014-06-02,2015-06-21,6,1,2,19.0,13.0,6.0,0.6667
Crimea,5,2006-11-19,2006-11-25,3,0,2,7.0,11.0,-4.0,0.6
Croatia,400,1940-04-02,2026-07-02,211,104,85,694.0,407.0,287.0,0.5275
Cuba,397,1930-03-16,2026-03-29,139,90,168,532.0,605.0,-73.0,0.3501
Curaçao,388,1924-04-06,2026-06-25,143,101,144,636.0,617.0,19.0,0.3686
Cyprus,426,1949-07-30,2026-06-07,82,72,272,375.0,927.0,-552.0,0.1925
Czech Republic,363,1994-02-23,2026-06-24,191,73,99,645.0,374.0,271.0,0.5262
Czechoslovakia,520,1903-04-05,1993-11-17,236,119,165,984.0,721.0,263.0,0.4538
DR Congo,528,1948-05-25,2026-07-01,207,145,176,784.0,632.0,152.0,0.392
Darfur,7,2012-06-04,2014-06-07,0,0,7,1.0,99.0,-98.0,0.0
Denmark,874,1908-10-22,2026-06-07,402,185,287,1587.0,1173.0,414.0,0.46
Djibouti,111,1947-12-05,2025-11-26,7,10,94,74.0,401.0,-327.0,0.0631
Dominica,215,1932-03-23,2026-03-30,52,46,117,250.0,436.0,-186.0,0.2419
Dominican Republic,159,1949-05-14,2026-06-03,62,26,71,266.0,254.0,12.0,0.3899
Donetsk PR,6,2015-05-14,2017-08-31,2,2,2,8.0,7.0,1.0,0.3333
Délvidék,2,2016-08-01,2016-08-03,1,0,1,4.0,3.0,1.0,0.5
East Turkestan,5,2019-10-19,2025-07-04,2,0,3,15.0,16.0,-1.0,0.4
Ecuador,595,1938-08-08,2026-06-30,184,158,253,719.0,907.0,-188.0,0.3092
Egypt,761,1920-08-28,2026-07-06,380,189,192,1231.0,770.0,461.0,0.4993
El Salvador,614,1921-09-14,2026-06-06,200,138,276,766.0,933.0,-167.0,0.3257
Elba Island,2,2022-04-22,2022-07-16,2,0,0,9.0,2.0,7.0,1.0
Ellan Vannin,22,2014-04-06,2018-06-03,11,5,6,54.0,32.0,22.0,0.5
England,1097,1872-11-30,2026-07-05,630,260,207,2399.0,1046.0,1353.0,0.5743
Equatorial Guinea,179,1975-05-23,2026-06-09,49,40,90,156.0,262.0,-106.0,0.2737
Eritrea,71,1992-06-26,2019-09-10,11,16,44,48.0,121.0,-73.0,0.1549
Estonia,550,1920-10-17,2026-06-09,136,122,292,544.0,974.0,-430.0,0.2473
Eswatini,274,1968-05-01,2025-10-13,55,83,136,231.0,455.0,-224.0,0.2007
Ethiopia,411,1947-12-05,2026-06-09,146,93,172,552.0,595.0,-43.0,0.3552
Falkland Islands,33,2001-07-08,2023-07-13,6,1,26,31.0,121.0,-90.0,0.1818
Faroe Islands,287,1972-07-12,2026-06-09,57,36,194,240.0,644.0,-404.0,0.1986
Felvidék,12,2015-05-30,2017-06-09,5,2,5,14.0,20.0,-6.0,0.4167
Fiji,272,1951-10-07,2026-06-06,119,49,104,615.0,442.0,173.0,0.4375
Finland,818,1911-10-22,2026-06-05,216,166,436,960.0,1675.0,-715.0,0.2641
France,940,1904-05-01,2026-07-04,481,196,263,1728.0,1211.0,517.0,0.5117
Franconia,3,2014-05-29,2019-06-25,2,0,1,8.0,11.0,-3.0,0.6667
French Guiana,179,1936-01-01,2024-11-19,54,39,86,267.0,306.0,-39.0,0.3017
Frøya,39,1997-06-29,2025-07-17,9,2,28,66.0,148.0,-82.0,0.2308
Gabon,405,1960-04-14,2026-03-30,141,114,150,477.0,484.0,-7.0,0.3481
Galicia,12,1922-11-19,2024-05-21,5,3,4,21.0,23.0,-2.0,0.4167
Gambia,266,1953-02-09,2026-05-29,73,75,118,279.0,370.0,-91.0,0.2744
Georgia,307,1979-07-22,2026-06-05,100,65,142,383.0,431.0,-48.0,0.3257
German DR,298,1952-05-18,1990-09-12,140,66,92,506.0,361.0,145.0,0.4698
Germany,1039,1908-04-05,2026-06-29,604,215,220,2340.0,1205.0,1135.0,0.5813
Ghana,675,1950-05-28,2026-07-03,312,176,187,1054.0,703.0,351.0,0.4622
Gibraltar,162,1993-07-04,2026-06-06,42,20,100,189.0,398.0,-209.0,0.2593
Gotland,32,1999-06-27,2017-06-29,12,4,16,89.0,63.0,26.0,0.375
Gozo,14,2009-06-22,2025-07-17,4,2,8,31.0,28.0,3.0,0.2857
Greece,633,1919-06-25,2026-06-07,240,155,238,794.0,878.0,-84.0,0.3791
Greenland,77,1980-07-02,2024-06-01,25,10,42,145.0,159.0,-14.0,0.3247
Grenada,260,1938-08-17,2026-05-16,86,56,118,422.0,484.0,-62.0,0.3308
Guadeloupe,271,1934-03-13,2025-06-24,115,47,109,463.0,390.0,73.0,0.4244
Guam,123,1975-08-02,2026-06-06,25,11,87,140.0,603.0,-463.0,0.2033
Guatemala,554,1921-09-18,2026-06-07,199,140,215,774.0,763.0,11.0,0.3592
Guernsey,240,1905-04-17,2023-07-13,145,25,70,616.0,313.0,303.0,0.6042
Guinea,539,1962-05-09,2026-06-04,200,153,186,730.0,660.0,70.0,0.3711
Guinea-Bissau,190,1953-06-02,2026-03-31,52,44,94,189.0,280.0,-91.0,0.2737
Guyana,313,1905-07-21,2026-03-30,103,61,149,428.0,550.0,-122.0,0.3291
Găgăuzia,3,2006-11-19,2006-11-21,0,1,2,2.0,9.0,-7.0,0.0
Haiti,513,1925-03-22,2026-06-24,216,110,187,840.0,694.0,146.0,0.4211
Hitra,23,1997-06-29,2025-07-17,6,1,16,37.0,92.0,-55.0,0.2609
Hmong,3,2023-08-04,2023-08-08,1,0,2,6.0,10.0,-4.0,0.3333
Honduras,620,1927-11-07,2026-06-06,247,161,212,909.0,798.0,111.0,0.3984
Hong Kong,447,1953-04-05,2026-06-09,143,96,208,648.0,732.0,-84.0,0.3199
Hungary,1006,1902-10-12,2026-06-09,472,222,312,2011.0,1483.0,528.0,0.4692
Iceland,522,1946-07-17,2026-06-09,159,102,261,632.0,876.0,-244.0,0.3046
India,536,1938-09-03,2026-06-09,191,121,224,733.0,862.0,-129.0,0.3563
Indonesia,730,1934-05-13,2026-06-09,284,143,303,1220.0,1176.0,44.0,0.389
Iran,615,1941-08-23,2026-06-26,349,147,119,1158.0,486.0,672.0,0.5675
Iraq,658,1960-06-05,2026-06-26,304,188,166,1006.0,621.0,385.0,0.462
Iraqi Kurdistan,27,2008-07-07,2016-06-04,13,8,6,61.0,27.0,34.0,0.4815
Isle of Man,58,1993-07-04,2025-07-18,35,4,19,186.0,87.0,99.0,0.6034
Isle of Wight,48,1991-06-24,2023-07-13,26,7,15,113.0,60.0,53.0,0.5417
Israel,498,1934-03-16,2026-06-03,181,116,201,750.0,737.0,13.0,0.3635
Italy,893,1910-05-15,2026-06-07,477,243,173,1565.0,876.0,689.0,0.5342
Ivory Coast,642,1960-04-14,2026-06-30,329,162,151,1053.0,639.0,414.0,0.5125
Jamaica,663,1925-03-22,2026-06-06,258,154,251,882.0,874.0,8.0,0.3891
Japan,794,1917-05-07,2026-06-29,391,167,236,1451.0,915.0,536.0,0.4924
Jersey,235,1905-04-27,2025-07-18,153,20,62,645.0,285.0,360.0,0.6511
Jordan,488,1963-01-06,2026-06-27,180,134,174,622.0,549.0,73.0,0.3689
Kabylia,6,2018-05-31,2018-06-09,1,2,3,8.0,15.0,-7.0,0.1667
Kazakhstan,269,1979-08-04,2026-06-09,71,60,138,309.0,444.0,-135.0,0.2639
Kenya,706,1926-05-01,2026-06-04,268,176,262,978.0,958.0,20.0,0.3796
Kernow,12,1953-09-26,2023-07-16,7,2,3,32.0,19.0,13.0,0.5833
Kiribati,11,1979-08-30,2011-09-05,0,1,10,7.0,126.0,-119.0,0.0
Kosovo,104,2006-04-22,2026-06-07,42,23,39,152.0,139.0,13.0,0.4038
