team,recent_wins,recent_draws,recent_losses,recent_gf,recent_ga,recent_form_score
Abkhazia,5,4,1,18.0,7.0,1.9
Afghanistan,1,2,7,4.0,15.0,0.5
Albania,5,0,5,9.0,9.0,1.5
Alderney,2,0,8,9.0,32.0,0.6
Algeria,5,2,3,18.0,11.0,1.7
Ambazonia,0,1,5,3.0,17.0,0.1
American Samoa,0,1,9,6.0,66.0,0.1
Andalusia,8,2,0,23.0,9.0,2.6
Andorra,1,3,6,5.0,16.0,0.6
Angola,3,5,2,14.0,11.0,1.4
Anguilla,2,0,8,8.0,28.0,0.6
Antigua and Barbuda,0,2,8,3.0,22.0,0.2
Arameans Suryoye,5,2,3,16.0,12.0,1.7
Argentina,9,1,0,25.0,4.0,2.8
Armenia,1,3,6,8.0,25.0,0.6
Artsakh,6,1,3,31.0,13.0,1.9
Aruba,4,2,4,15.0,19.0,1.4
Asturias,1,0,0,3.0,1.0,0.3
Australia,3,3,4,10.0,10.0,1.2
Austria,5,2,3,16.0,12.0,1.7
Aymara,0,0,2,1.0,4.0,0.0
Azerbaijan,2,2,6,12.0,21.0,0.8
Bahamas,1,1,8,12.0,39.0,0.4
Bahrain,2,1,7,9.0,17.0,0.7
Bangladesh,3,4,3,12.0,13.0,1.3
Barawa,3,0,7,14.0,38.0,0.9
Barbados,1,3,6,12.0,23.0,0.6
Basque Country,6,4,0,22.0,7.0,2.2
Belarus,3,3,4,13.0,21.0,1.2
Belgium,6,4,0,29.0,7.0,2.2
Belize,3,1,6,15.0,27.0,1.0
Benin,3,1,6,6.0,20.0,1.0
Bermuda,3,1,6,14.0,26.0,1.0
Bhutan,1,1,8,3.0,24.0,0.4
Biafra,2,0,1,2.0,1.0,0.6
Bolivia,2,1,7,7.0,21.0,0.7
Bonaire,2,0,8,8.0,22.0,0.6
Bosnia and Herzegovina,2,6,2,12.0,13.0,1.2
Botswana,2,1,7,6.0,18.0,0.7
Brazil,6,3,1,22.0,9.0,2.1
British Virgin Islands,4,2,4,17.0,15.0,1.4
Brittany,4,3,3,13.0,14.0,1.5
Brunei,2,1,7,4.0,24.0,0.7
Bulgaria,3,1,6,16.0,24.0,1.0
Burkina Faso,5,2,3,18.0,13.0,1.7
Burundi,2,1,7,6.0,14.0,0.7
Cambodia,3,2,5,17.0,15.0,1.1
Cameroon,5,2,3,10.0,7.0,1.7
Canada,4,5,1,16.0,6.0,1.7
Canary Islands,3,0,1,11.0,3.0,0.9
Cape Verde,1,6,3,11.0,14.0,0.9
Cascadia,4,1,2,23.0,14.0,1.3
Catalonia,5,4,1,21.0,11.0,1.9
Cayman Islands,2,1,7,9.0,24.0,0.7
Central African Republic,2,2,6,7.0,21.0,0.8
Central Spain,1,0,1,2.0,4.0,0.3
Chad,0,3,7,8.0,21.0,0.3
Chagos Islands,1,1,8,15.0,56.0,0.4
Chameria,3,2,2,14.0,8.0,1.1
Chechnya,0,1,2,3.0,29.0,0.1
Chile,5,1,4,14.0,16.0,1.6
China,3,2,5,8.0,12.0,1.1
Cilento,0,0,1,0.0,2.0,0.0
Colombia,6,2,2,15.0,7.0,2.0
Comoros,1,4,5,8.0,15.0,0.7
Congo,1,2,7,6.0,23.0,0.5
Cook Islands,2,0,8,5.0,33.0,0.6
Corsica,4,4,1,10.0,5.0,1.6
Costa Rica,1,5,4,11.0,19.0,0.8
County of Nice,6,1,2,19.0,13.0,1.9
Crimea,3,0,2,7.0,11.0,0.9
Croatia,6,0,4,17.0,17.0,1.8
Cuba,3,2,5,10.0,19.0,1.1
Curaçao,2,3,5,15.0,21.0,0.9
Cyprus,3,3,4,16.0,15.0,1.2
Czech Republic,4,3,3,21.0,14.0,1.5
Czechoslovakia,4,5,1,21.0,9.0,1.7
DR Congo,4,2,4,12.0,8.0,1.4
Darfur,0,0,7,1.0,99.0,0.0
Denmark,5,4,1,24.0,10.0,1.9
Djibouti,0,2,8,5.0,27.0,0.2
Dominica,1,4,5,7.0,18.0,0.7
Dominican Republic,1,4,5,10.0,16.0,0.7
Donetsk PR,2,2,2,8.0,7.0,0.8
Délvidék,1,0,1,4.0,3.0,0.3
East Turkestan,2,0,3,15.0,16.0,0.6
Ecuador,4,4,2,11.0,7.0,1.6
Egypt,3,6,1,12.0,6.0,1.5
El Salvador,2,2,6,5.0,14.0,0.8
Elba Island,2,0,0,9.0,2.0,0.6
Ellan Vannin,4,3,3,16.0,14.0,1.5
England,6,3,1,15.0,5.0,2.1
Equatorial Guinea,1,2,7,5.0,15.0,0.5
Eritrea,0,1,9,4.0,21.0,0.1
Estonia,3,3,4,10.0,18.0,1.2
Eswatini,0,5,5,7.0,24.0,0.5
Ethiopia,4,1,5,12.0,14.0,1.3
Falkland Islands,0,1,9,7.0,33.0,0.1
Faroe Islands,7,0,3,14.0,8.0,2.1
Felvidék,4,2,4,11.0,16.0,1.4
Fiji,1,3,6,7.0,28.0,0.6
Finland,3,1,6,11.0,17.0,1.0
France,8,1,1,25.0,8.0,2.5
Franconia,2,0,1,8.0,11.0,0.6
French Guiana,3,2,5,17.0,15.0,1.1
Frøya,1,1,8,13.0,39.0,0.4
Gabon,3,2,5,18.0,19.0,1.1
Galicia,3,3,4,13.0,21.0,1.2
Gambia,4,2,4,22.0,16.0,1.4
Georgia,3,2,5,14.0,18.0,1.1
German DR,7,1,2,19.0,13.0,2.2
Germany,8,1,1,31.0,10.0,2.5
Ghana,1,2,7,5.0,16.0,0.5
Gibraltar,5,0,5,21.0,18.0,1.5
Gotland,3,0,7,29.0,19.0,0.9
Gozo,4,2,4,26.0,14.0,1.4
Greece,2,3,5,12.0,16.0,0.9
Greenland,4,3,3,14.0,22.0,1.5
Grenada,5,0,5,17.0,21.0,1.5
