team,shots,total_xg,goals,xg_per_shot,conversion
Argentina,168,26.5841384137,29,0.1582,0.1726
Australia,60,5.5996640837,5,0.0933,0.0833
Belgium,143,16.4189193173,16,0.1148,0.1119
Brazil,202,25.9489716899,18,0.1285,0.0891
Cameroon,28,3.0667434502,4,0.1095,0.1429
Canada,35,3.928625529,1,0.1122,0.0286
Colombia,46,7.2267108718,9,0.1571,0.1957
Costa Rica,39,3.5650402747,3,0.0914,0.0769
Croatia,211,32.6471251791,35,0.1547,0.1659
Denmark,80,10.0812224838,6,0.126,0.075
Ecuador,30,3.8067283904,4,0.1269,0.1333
Egypt,31,2.985732648,2,0.0963,0.0645
England,164,24.5333599073,29,0.1496,0.1768
France,188,23.7544356597,30,0.1264,0.1596
Germany,141,14.5548221749,8,0.1032,0.0567
Ghana,25,3.3532532787,5,0.1341,0.2
Iceland,36,4.716973363,2,0.131,0.0556
Iran,56,6.531391206,5,0.1166,0.0893
Japan,92,12.2708365007,12,0.1334,0.1304
Mexico,103,8.1219937457,5,0.0789,0.0485
Morocco,105,12.264428517,11,0.1168,0.1048
Netherlands,48,8.91128704,13,0.1857,0.2708
Nigeria,39,3.3798261047,3,0.0867,0.0769
Panama,24,2.3961893183,1,0.0998,0.0417
Peru,33,2.8879745145999998,2,0.0875,0.0606
Poland,63,7.860456355,5,0.1248,0.0794
Portugal,124,12.1502870132,18,0.098,0.1452
Qatar,20,1.4079916985,1,0.0704,0.05
Russia,59,11.971802201,17,0.2029,0.2881
Saudi Arabia,65,6.2696570763,5,0.0965,0.0769
Senegal,79,7.9416084725,8,0.1005,0.1013
Serbia,67,7.184771705,7,0.1072,0.1045
South Korea,82,6.6153906444,8,0.0807,0.0976
Spain,128,18.9256245654,18,0.1479,0.1406
Sweden,58,7.365430616,5,0.127,0.0862
Switzerland,92,9.872598996,10,0.1073,0.1087
Tunisia,70,7.3967387476,6,0.1057,0.0857
United States,46,3.9385379416,3,0.0856,0.0652
Uruguay,96,10.6705235294,8,0.1112,0.0833
Wales,24,2.218980701,1,0.0925,0.0417
