team,short_name,group,fifa_ranking,elo,wiki_url,description_len,has_thumbnail
Argentina,ARG,A,1,1865.0,https://en.wikipedia.org/wiki/Argentina_national_football_team,500,True
Mexico,MEX,A,11,1680.0,https://en.wikipedia.org/wiki/Mexico_national_football_team,500,True
Ecuador,ECU,A,30,1600.0,https://en.wikipedia.org/wiki/Ecuador_national_football_team,220,True
Jamaica,JAM,A,55,1500.0,https://en.wikipedia.org/wiki/Jamaica_national_football_team,323,True
Spain,ESP,B,8,1780.0,https://en.wikipedia.org/wiki/Spain_national_football_team,209,True
Netherlands,NED,B,7,1775.0,https://en.wikipedia.org/wiki/Netherlands_national_football_team,472,True
Cameroon,CMR,B,50,1550.0,https://en.wikipedia.org/wiki/Cameroon_national_football_team,239,True
Qatar,QAT,B,58,1480.0,https://en.wikipedia.org/wiki/Qatar_national_football_team,356,True
England,ENG,C,4,1820.0,https://en.wikipedia.org/wiki/England_national_football_team,500,True
USA,USA,C,16,1650.0,https://en.wikipedia.org/wiki/United_States_men's_national_soccer_team,500,True
Iran,IRN,C,21,1610.0,https://en.wikipedia.org/wiki/Iran_national_football_team,330,True
Wales,WAL,C,26,1580.0,https://en.wikipedia.org/wiki/Wales_national_football_team,261,True
Brazil,BRA,D,3,1850.0,https://en.wikipedia.org/wiki/Brazil_national_football_team,386,True
Portugal,POR,D,6,1790.0,https://en.wikipedia.org/wiki/Portugal_national_football_team,500,True
Serbia,SRB,D,25,1585.0,https://en.wikipedia.org/wiki/Serbia_national_football_team,201,True
Ghana,GHA,D,60,1505.0,https://en.wikipedia.org/wiki/Ghana_national_football_team,297,True
Germany,GER,E,13,1760.0,https://en.wikipedia.org/wiki/Germany_national_football_team,500,True
Japan,JPN,E,18,1670.0,https://en.wikipedia.org/wiki/Japan_national_football_team,226,True
Costa Rica,CRC,E,52,1530.0,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team,500,True
New Zealand,NZL,E,26,1520.0,https://en.wikipedia.org/wiki/New_Zealand_national_football_team,268,False
Belgium,BEL,F,15,1745.0,https://en.wikipedia.org/wiki/Belgium_national_football_team,500,True
Croatia,CRO,F,10,1720.0,https://en.wikipedia.org/wiki/Croatia_national_football_team,438,True
Morocco,MAR,F,12,1700.0,https://en.wikipedia.org/wiki/Morocco_national_football_team,500,True
Canada,CAN,F,48,1560.0,https://en.wikipedia.org/wiki/Canada_men's_national_soccer_team,378,True
France,FRA,G,2,1840.0,https://en.wikipedia.org/wiki/France_national_football_team,500,True
Denmark,DEN,G,19,1685.0,https://en.wikipedia.org/wiki/Denmark_national_football_team,356,True
Tunisia,TUN,G,41,1545.0,https://en.wikipedia.org/wiki/Tunisia_national_football_team,500,True
Peru,PER,G,22,1605.0,https://en.wikipedia.org/wiki/Peru_national_football_team,370,True
Uruguay,URU,H,14,1730.0,https://en.wikipedia.org/wiki/Uruguay_national_football_team,500,False
Italy,ITA,H,9,1705.0,https://en.wikipedia.org/wiki/Italy_national_football_team,469,True
South Korea,KOR,H,24,1620.0,https://en.wikipedia.org/wiki/South_Korea_national_football_team,205,True
Australia,AUS,H,23,1595.0,https://en.wikipedia.org/wiki/Australia_men's_national_soccer_team,332,True
Colombia,COL,I,17,1650.0,https://en.wikipedia.org/wiki/Colombia_national_football_team,500,True
Paraguay,PAR,I,35,1555.0,https://en.wikipedia.org/wiki/Paraguay_national_football_team,500,True
Panama,PAN,I,43,1500.0,https://en.wikipedia.org/wiki/Panama_national_football_team,500,False
Bolivia,BOL,I,85,1450.0,https://en.wikipedia.org/wiki/Bolivia_national_football_team,261,True
Senegal,SEN,J,20,1655.0,https://en.wikipedia.org/wiki/Senegal_national_football_team,188,False
Algeria,ALG,J,33,1580.0,https://en.wikipedia.org/wiki/Algeria_national_football_team,328,True
South Africa,RSA,J,57,1480.0,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,478,True
Burkina Faso,BFA,J,56,1490.0,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team,431,False
Poland,POL,K,31,1590.0,https://en.wikipedia.org/wiki/Poland_national_football_team,500,True
Sweden,SWE,K,34,1585.0,https://en.wikipedia.org/wiki/Sweden_national_football_team,118,False
Austria,AUT,K,27,1610.0,https://en.wikipedia.org/wiki/Austria_national_football_team,155,True
Egypt,EGY,K,38,1570.0,https://en.wikipedia.org/wiki/Egypt_national_football_team,207,True
Nigeria,NGA,L,28,1605.0,https://en.wikipedia.org/wiki/Nigeria_national_football_team,500,True
Ivory Coast,CIV,L,39,1575.0,https://en.wikipedia.org/wiki/Ivory_Coast_national_football_team,344,True
Greece,GRE,L,46,1515.0,https://en.wikipedia.org/wiki/Greece_national_football_team,277,True
Zambia,ZAM,L,90,1430.0,https://en.wikipedia.org/wiki/Zambia_national_football_team,500,True
