team_2026,xg_coverage,history_coverage,sb_match,sb_name,intl_match,intl_name
Algeria,False,True,False,???,True,Algeria
Argentina,True,True,True,Argentina,True,Argentina
Australia,True,True,True,Australia,True,Australia
Austria,False,True,False,???,True,Austria
Belgium,True,True,True,Belgium,True,Belgium
Bolivia,False,True,False,???,True,Bolivia
Brazil,True,True,True,Brazil,True,Brazil
Burkina Faso,False,True,False,???,True,Burkina Faso
Cameroon,True,True,True,Cameroon,True,Cameroon
Canada,True,True,True,Canada,True,Canada
Colombia,True,True,True,Colombia,True,Colombia
Costa Rica,True,True,True,Costa Rica,True,Costa Rica
Croatia,True,True,True,Croatia,True,Croatia
Denmark,True,True,True,Denmark,True,Denmark
Ecuador,True,True,True,Ecuador,True,Ecuador
Egypt,True,True,True,Egypt,True,Egypt
England,True,True,True,England,True,England
France,True,True,True,France,True,France
Germany,True,True,True,Germany,True,Germany
Ghana,True,True,True,Ghana,True,Ghana
Greece,False,True,False,???,True,Greece
Iran,True,True,True,Iran,True,Iran
Italy,False,True,False,???,True,Italy
Ivory Coast,False,True,False,???,True,Ivory Coast
Jamaica,False,True,False,???,True,Jamaica
Japan,True,True,True,Japan,True,Japan
Mexico,True,True,True,Mexico,True,Mexico
Morocco,True,True,True,Morocco,True,Morocco
Netherlands,True,True,True,Netherlands,True,Netherlands
New Zealand,False,True,False,???,True,New Zealand
Nigeria,True,True,True,Nigeria,True,Nigeria
Panama,True,True,True,Panama,True,Panama
Paraguay,False,True,False,???,True,Paraguay
Peru,True,True,True,Peru,True,Peru
Poland,True,True,True,Poland,True,Poland
Portugal,True,True,True,Portugal,True,Portugal
Qatar,True,True,True,Qatar,True,Qatar
Senegal,True,True,True,Senegal,True,Senegal
Serbia,True,True,True,Serbia,True,Serbia
South Africa,False,True,False,???,True,South Africa
South Korea,True,True,True,South Korea,True,South Korea
Spain,True,True,True,Spain,True,Spain
Sweden,True,True,True,Sweden,True,Sweden
Tunisia,True,True,True,Tunisia,True,Tunisia
USA,True,True,True,United States,True,United States
Uruguay,True,True,True,Uruguay,True,Uruguay
Wales,True,True,True,Wales,True,Wales
Zambia,False,True,False,???,True,Zambia
